,alt_names,birth_date,key,name,top_subjects,top_work,type1,work_count,ratings_average,ratings_sortable,ratings_count,ratings_count1,ratings_count2,ratings_count3,ratings_count4,ratings_count5,want_to_read_count,already_read_count,currently_reading_count,readinglog_count,version
0,,,OL2876755A,Lisa Kumar,Authors/Biography/Illustrators/Children's literature/Bibliography/Bio-bibliography/Television writers/Screenwriters/Poets/Obituaries,Something About the Author,author,122,,,,,,,,,,,,,1796009186425831433
1,,,OL12900095A,"Barrett, Nikki Lynn, Kumar, Lisa, Ames, Krista, Mackade, Viviana, Duffy, RM, Lindun, D'Ann",,The Rock Stars,author,2,,,,,,,,,,,,,1795978455460872201
2,,,OL2876755A,Lisa Kumar,Authors/Biography/Illustrators/Children's literature/Bibliography/Bio-bibliography/Television writers/Screenwriters/Poets/Obituaries,Something About the Author,author,122,,,,,,,,,,,,,1796009186425831433
3,,,OL12900095A,"Barrett, Nikki Lynn, Kumar, Lisa, Ames, Krista, Mackade, Viviana, Duffy, RM, Lindun, D'Ann",,The Rock Stars,author,2,,,,,,,,,,,,,1795978455460872201
4,George PLIMPTON/GEORGE PLIMPTON,1927,OL388011A,George Plimpton,Interviews/Authors/George Plimpton/Biography/United States/Fiction/Football players/Anecdotes/20th century/Authorship,Paper Lion,author,162,,,,,,,,,,,,,1804137685853405186
5,George Plimpton Adams/George Plimpton Adams./George P. (George Plimpton) 1 Adams,1909,OL114804A,"Adams, George Plimpton","Économie politique comparée/World War, 1914-1918/United States/Prices/Philosophy, Modern/Modern Philosophy/Metaphysics/Idealism/Georg Wilhelm Friedrich Hegel (1770-1831)/Economics",Idealism and the Modern Age,author,20,,,,,,,,,,,,,1804137753063981059
6,,,OL14044309A,George Plimpton,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807615465816588288
7,,,OL7823033A,"Pauline Plimpton, Evelyn Ames, Ezio Antonini, Sarah and George Plimpton Oakes Plimpton",,"Butler Ames and the Villa Balbianello, Lake Como, Italy",author,2,,,,,,,,,,,,,1796080669666836485
8,,1855,OL606596A,George A. Plimpton,History/George A. Plimpton (1855-1936)/Bibliography/United States/Textbooks/Manuscripts/Library/England/Education/Early works to 1800,The education of Shakespeare,author,43,,,,,,,,,,,,,1796053425138434052
9,,,OL4435200A,George A. Plimpton,,The Education of Shakespeare,author,4,,,,,,,,,,,,,1796030500661362691
